,alpha,std2,delta,pdf_type,h,ARL0,ARL1,CompTime
2951,0.9,3.0,3.0,Gaussian,11.763070132888725,192.89421157684632,2.175627240143369,3.214775579111762e-06
2952,0.9,3.0,3.0,Gaussian,12.377512985634578,212.39716312056737,2.249532710280374,2.4277039433899605e-06
2953,0.9,3.0,3.0,Gaussian,12.99195583838043,242.97569444444446,2.2743280815569973,4.631711869281257e-06
2954,0.9,3.0,3.0,Gaussian,13.606398691126284,274.7670286278381,2.4505893019038987,3.6282068007987736e-06
2955,0.9,3.0,3.0,Gaussian,14.220841543872137,308.9432624113475,2.530956848030019,2.2809016573528206e-06
2956,0.9,3.0,3.0,Gaussian,14.83528439661799,360.64625183733466,2.7188715953307394,2.5785850029212747e-06
2957,0.9,3.0,3.0,Gaussian,15.449727249363843,410.5138613861386,2.766258246936852,1.8595657217878338e-06
2958,0.9,3.0,3.0,Gaussian,16.064170102109696,462.9453125,2.8551307847082494,2.031593023038043e-06
2959,0.9,3.0,3.0,Gaussian,16.67861295485555,520.4268484530677,3.0532128514056227,3.460695151533593e-06
2960,0.9,3.0,3.0,Bigaussian,1.2951938155161649,20.337462834489592,1.0,2.420335481712572e-05
2961,0.9,3.0,3.0,Bigaussian,1.4680041788608358,22.489838457529963,1.201430274135876,4.010298388873663e-05
2962,0.9,3.0,3.0,Bigaussian,1.640814542205507,25.369507676019058,1.1718946047678795,2.1627227196806343e-05
2963,0.9,3.0,3.0,Bigaussian,1.8136249055501779,26.70871794871795,1.2059523809523809,2.4100107977893828e-05
2964,0.9,3.0,3.0,Bigaussian,1.9864352688948488,31.480455220188027,1.0,2.0386704012571212e-05
2965,0.9,3.0,3.0,Bigaussian,2.1592456322395197,32.59544749094672,1.2307692307692308,2.4139707184183697e-05
2966,0.9,3.0,3.0,Bigaussian,2.3320559955841906,36.63927855711423,1.256059009483667,2.019886258021411e-05
2967,0.9,3.0,3.0,Bigaussian,2.5048663589288616,39.331172069825435,1.273015873015873,2.041845353580022e-05
2968,0.9,3.0,3.0,Bigaussian,2.6776767222735325,44.005053057099545,1.2939958592132506,2.018707913312087e-05
2969,0.9,3.0,3.0,Bigaussian,2.8504870856182034,50.40082009226038,1.0,1.9707012664363715e-05
