,SNR,alpha,std2_rel,pdf_type,h,ARL0,ARL1,CompTime
50,0.5,0.9,9.0,Bigaussian,1.98375,48.88073394495413,1.1071428571428572,3.422459308862542e-05
51,0.5,0.9,9.0,Bigaussian,2.6349460734521477,55.21904761904762,1.0,3.944296329228476e-05
52,0.5,0.9,9.0,Bigaussian,3.286142146904295,79.00925925925925,1.2285714285714286,3.894519388362934e-05
53,0.5,0.9,9.0,Bigaussian,3.937338220356443,133.33,1.0769230769230769,3.407309971475443e-05
54,0.5,0.9,9.0,Bigaussian,4.58853429380859,1066.4157303370787,1.0,3.0171954466575864e-05
55,0.5,0.9,9.0,PWG,1.98375,49.91346153846154,1.1818181818181819,9.455028193117439e-06
56,0.5,0.9,9.0,PWG,2.6349460734521477,57.24166666666667,1.0,1.201452570593396e-05
57,0.5,0.9,9.0,PWG,3.286142146904295,74.33333333333333,1.1818181818181819,1.6724056447319737e-05
58,0.5,0.9,9.0,PWG,3.937338220356443,103.54166666666667,1.0,9.630816320331508e-06
59,0.5,0.9,9.0,PWG,4.58853429380859,944.1881188118812,1.1794871794871795,6.9775757321461e-06
60,1.0,0.6,3.0,Gaussian,3.4695911484374977,64.56666666666666,1.6170212765957446,3.841984015452509e-06
61,1.0,0.6,3.0,Gaussian,4.346840134852158,108.21212121212122,2.09375,5.0685265730715e-06
62,1.0,0.6,3.0,Gaussian,5.224089121266818,200.19148936170214,2.690909090909091,5.564036970577102e-06
63,1.0,0.6,3.0,Gaussian,6.101338107681478,457.0816326530612,2.7857142857142856,2.870104691699e-06
64,1.0,0.6,3.0,Gaussian,6.978587094096138,710.9230769230769,3.3333333333333335,3.3298081818360992e-06
65,1.0,0.6,3.0,Bigaussian,3.0170357812499984,109.1875,1.4603174603174602,3.1454057824971734e-05
66,1.0,0.6,3.0,Bigaussian,3.5819804454074684,181.39583333333334,1.6779661016949152,2.91987518759575e-05
67,1.0,0.6,3.0,Bigaussian,4.146925109564938,229.88983050847457,1.4666666666666666,2.936907997870864e-05
68,1.0,0.6,3.0,Bigaussian,4.711869773722408,342.7669902912621,1.7037037037037037,3.263064782244478e-05
69,1.0,0.6,3.0,Bigaussian,5.276814437879878,602.0744680851063,2.3442622950819674,2.575112984214951e-05
70,1.0,0.6,3.0,PWG,2.623509374999999,92.75490196078431,1.0,7.705946297051062e-06
71,1.0,0.6,3.0,PWG,3.2868356407199686,151.15584415584416,1.5636363636363637,7.757880819271684e-06
72,1.0,0.6,3.0,PWG,3.9501619064399387,289.4954128440367,1.8,7.126153737445023e-06
73,1.0,0.6,3.0,PWG,4.613488172159908,529.8829787234042,2.4925373134328357,6.870582612223958e-06
74,1.0,0.6,3.0,PWG,5.276814437879878,1413.8318584070796,2.522727272727273,7.795878327289811e-06
75,1.0,0.6,9.0,Gaussian,3.4695911484374977,49.07,1.4615384615384615,7.038341393331303e-06
76,1.0,0.6,9.0,Gaussian,4.608537150880762,92.37078651685393,2.263157894736842,6.713833691473308e-06
77,1.0,0.6,9.0,Gaussian,5.747483153324028,228.51111111111112,2.74,3.4960675185081164e-06
78,1.0,0.6,9.0,Gaussian,6.886429155767292,443.02150537634407,2.909090909090909,3.2797212198719257e-06
79,1.0,0.6,9.0,Gaussian,8.025375158210558,975.7321428571429,3.8260869565217392,3.1675836514749827e-06
80,1.0,0.6,9.0,Bigaussian,3.4695911484374977,149.0183486238532,1.5,3.284730366982311e-05
81,1.0,0.6,9.0,Bigaussian,3.9213969707980927,326.7578947368421,1.492537313432836,2.6159028471790102e-05
82,1.0,0.6,9.0,Bigaussian,4.373202793158688,403.7916666666667,1.4745762711864407,2.8522512276744078e-05
83,1.0,0.6,9.0,Bigaussian,4.825008615519283,469.6354166666667,1.7169811320754718,2.621936282553131e-05
84,1.0,0.6,9.0,Bigaussian,5.276814437879878,803.7350427350427,1.8627450980392157,2.8959766799546492e-05
85,1.0,0.6,9.0,PWG,3.4695911484374977,237.92857142857142,1.4285714285714286,7.166727155783502e-06
86,1.0,0.6,9.0,PWG,3.9213969707980927,350.2916666666667,1.5833333333333333,7.0041318754754024e-06
87,1.0,0.6,9.0,PWG,4.373202793158688,518.1797752808989,1.3653846153846154,5.994227960008316e-06
88,1.0,0.6,9.0,PWG,4.825008615519283,550.6132075471698,1.6545454545454545,8.68452906857853e-06
89,1.0,0.6,9.0,PWG,5.276814437879878,867.9191919191919,2.480769230769231,6.885918655708172e-06
90,1.0,0.9,3.0,Gaussian,2.623509374999999,52.625,1.52,9.204474120703144e-06
91,1.0,0.9,3.0,Gaussian,3.9739758208026386,89.39772727272727,1.8596491228070176,3.9489294576121634e-06
92,1.0,0.9,3.0,Gaussian,5.324442266605278,153.38541666666666,2.619047619047619,2.5920769002452815e-06
93,1.0,0.9,3.0,Gaussian,6.674908712407918,285.42391304347825,2.896551724137931,4.184429170003791e-06
94,1.0,0.9,3.0,Gaussian,8.025375158210558,679.6666666666666,3.282051282051282,3.845127134518857e-06
95,1.0,0.9,3.0,Bigaussian,3.4695911484374977,90.08620689655173,1.2608695652173914,2.9578478365304522e-05
96,1.0,0.9,3.0,Bigaussian,3.9213969707980927,307.3614457831325,1.6296296296296295,2.8624385399107558e-05
97,1.0,0.9,3.0,Bigaussian,4.373202793158688,338.99074074074076,1.5806451612903225,2.55282759954325e-05
98,1.0,0.9,3.0,Bigaussian,4.825008615519283,534.7019230769231,1.9787234042553192,2.5748084834444782e-05
99,1.0,0.9,3.0,Bigaussian,5.276814437879878,668.8673469387755,1.68,2.9227270647926765e-05
100,1.0,0.9,3.0,PWG,3.4695911484374977,62.41935483870968,1.396551724137931,8.121912132378606e-06
101,1.0,0.9,3.0,PWG,3.9213969707980927,251.67032967032966,1.5254237288135593,8.559423277168297e-06
102,1.0,0.9,3.0,PWG,4.373202793158688,282.94565217391306,1.6551724137931034,5.93849879926626e-06
103,1.0,0.9,3.0,PWG,4.825008615519283,437.55696202531647,1.6065573770491803,6.2962023461879056e-06
