,alpha,std2,delta,pdf_type,h,ARL0,ARL1,CompTime
119,0.6,3.0,2.0,PWG,5.019960765532968,530.3113897596656,5.731391585760518,3.7531620045271926e-06
120,0.6,3.0,3.0,Gaussian,6.356198722617954,48.26365546218487,2.5622377622377623,5.081316252667357e-06
121,0.6,3.0,3.0,Gaussian,7.092849874455109,64.13748763600395,2.566993464052288,6.7270030516015445e-06
122,0.6,3.0,3.0,Gaussian,7.829501026292265,76.6497512437811,2.9748892171344163,4.0307003604238695e-06
123,0.6,3.0,3.0,Gaussian,8.566152178129421,103.59368836291914,3.2445414847161573,2.9890911897758144e-06
124,0.6,3.0,3.0,Gaussian,9.302803329966576,128.4437564499484,3.3184818481848186,2.765308032368499e-06
125,0.6,3.0,3.0,Gaussian,10.039454481803732,172.65419615773507,3.621187800963082,3.5834159046792213e-06
126,0.6,3.0,3.0,Gaussian,10.776105633640888,207.6491043203372,4.048387096774194,2.6001876010559333e-06
127,0.6,3.0,3.0,Gaussian,11.512756785478043,288.9345114345114,4.084142394822006,2.4914377029136154e-06
128,0.6,3.0,3.0,Gaussian,12.249407937315198,372.04795918367347,4.366174055829228,2.4354330121148114e-06
129,0.6,3.0,3.0,Gaussian,12.986059089152354,500.4422880490296,4.80565371024735,2.3850940856677075e-06
130,0.6,3.0,3.0,Bigaussian,2.308839154800577,49.98821007502679,1.6564516129032258,1.787811187304566e-05
131,0.6,3.0,3.0,Bigaussian,2.6769698271409132,64.88241415192508,1.759941089837997,1.9351458657136693e-05
132,0.6,3.0,3.0,Bigaussian,3.045100499481249,83.2759336099585,1.830188679245283,1.7950310755561172e-05
133,0.6,3.0,3.0,Bigaussian,3.413231171821585,97.82230997038499,2.069252077562327,1.9135359673315574e-05
134,0.6,3.0,3.0,Bigaussian,3.7813618441619212,134.25229826353421,2.173716012084592,1.782863946034071e-05
135,0.6,3.0,3.0,Bigaussian,4.1494925165022565,216.21894093686353,2.560777957860616,1.7271638529441105e-05
136,0.6,3.0,3.0,Bigaussian,4.5176231888425935,407.29782833505686,2.8151408450704225,1.6959530337710404e-05
137,0.6,3.0,3.0,Bigaussian,4.885753861182929,546.8474226804124,3.0720720720720722,1.6750297656810628e-05
138,0.6,3.0,3.0,Bigaussian,5.253884533523265,695.5902777777778,3.4412751677852347,1.736543763910067e-05
139,0.6,3.0,3.0,Bigaussian,5.622015205863601,967.0643274853801,3.6758620689655173,1.7429804080495572e-05
140,0.6,3.0,3.0,PWG,2.539723070280635,57.4816700610998,1.7201704545454546,7.746951512296299e-06
141,0.6,3.0,3.0,PWG,2.9446668098550046,74.62176165803109,1.878293601003764,6.930172768498364e-06
142,0.6,3.0,3.0,PWG,3.349610549429374,116.55578300921188,2.1671875,6.29910870261983e-06
143,0.6,3.0,3.0,PWG,3.754554289003744,177.3256972111554,2.4604863221884496,5.218863253821743e-06
144,0.6,3.0,3.0,PWG,4.159498028578113,341.3070624360287,2.7908082408874804,4.853020364267332e-06
145,0.6,3.0,3.0,PWG,4.564441768152483,446.9008350730689,3.0513761467889906,4.077234303301458e-06
146,0.6,3.0,3.0,PWG,4.969385507726853,669.3504016064257,3.407608695652174,4.487346843090729e-06
147,0.6,3.0,3.0,PWG,5.3743292473012225,1019.3929590865843,3.7858472998137804,5.138343160844238e-06
148,0.6,3.0,3.0,PWG,5.779272986875592,1712.6910401647785,4.07074569789675,9.281292112443934e-06
149,0.6,3.0,3.0,PWG,6.184216726449962,2785.4940239043826,4.577603143418467,1.3568074329834618e-05
150,0.6,6.0,0.5,Gaussian,0.048545135444559,3.253712871287129,0.5,2.7823100548148117e-05
151,0.6,6.0,0.5,Gaussian,0.5250653415951823,12.372040586245772,8.458605664488017,1.4683712500355641e-05
152,0.6,6.0,0.5,Gaussian,1.0015855477458055,28.363736263736264,15.780244173140954,7.087242325198623e-06
153,0.6,6.0,0.5,Gaussian,1.4781057538964286,50.63367463026166,25.592178770949722,3.990724345091288e-06
154,0.6,6.0,0.5,Gaussian,1.954625960047052,92.59010600706713,36.753715498938426,3.100384829746165e-06
155,0.6,6.0,0.5,Gaussian,2.431146166197675,129.72247191011235,51.68632075471698,2.7019166983983093e-06
